,ID,LONG,LAT,threshold,beta
181,geo_82,78.5,138.5,0.95,-0.06012296445570231
182,geo_82,78.5,138.5,0.99,-0.03605651930195095
183,geo_83,78.5,142.5,0.9,0.03505147452107465
184,geo_83,78.5,142.5,0.95,0.062202247547587144
185,geo_83,78.5,142.5,0.99,0.14131820962273586
186,geo_84,78.5,146.5,0.9,0.07009528782673641
187,geo_84,78.5,146.5,0.95,0.07051171249324638
188,geo_84,78.5,146.5,0.99,0.07100438789093638
189,geo_85,78.5,150.5,0.9,0.027262398690851807
190,geo_85,78.5,150.5,0.95,0.03205603828229756
191,geo_85,78.5,150.5,0.99,0.05984165235686452
192,geo_86,78.5,154.5,0.9,0.01009392047298881
193,geo_86,78.5,154.5,0.95,0.024158929407618695
194,geo_86,78.5,154.5,0.99,0.01704525893467701
195,geo_87,78.5,158.5,0.9,-0.018063053306421217
196,geo_87,78.5,158.5,0.95,-0.009318177310431665
197,geo_87,78.5,158.5,0.99,0.006787908392027482
198,geo_88,78.5,162.5,0.9,-0.01996544780406986
199,geo_88,78.5,162.5,0.95,-0.011198951831569187
200,geo_88,78.5,162.5,0.99,0.023001849732274773
201,geo_89,78.5,166.5,0.9,-0.02147028012220977
202,geo_89,78.5,166.5,0.95,-0.02413045875618912
203,geo_89,78.5,166.5,0.99,-0.027779179653815777
204,geo_90,78.5,170.5,0.9,0.005971107463886223
205,geo_90,78.5,170.5,0.95,0.0017693492404511728
206,geo_90,78.5,170.5,0.99,0.0017649520685012626
207,geo_91,78.5,174.5,0.9,-0.0002705441628856331
208,geo_91,78.5,174.5,0.95,0.006379645337024513
209,geo_91,78.5,174.5,0.99,0.012004302124418947
210,geo_92,78.5,178.5,0.9,0.018697555940854066
211,geo_92,78.5,178.5,0.95,0.01658369204997943
212,geo_92,78.5,178.5,0.99,0.011485912870034136
213,geo_93,78.5,182.5,0.9,0.1463819298445856
214,geo_93,78.5,182.5,0.95,0.13570035140282635
215,geo_93,78.5,182.5,0.99,0.1294212144891957
216,geo_94,78.5,186.5,0.9,0.09464401131230918
217,geo_94,78.5,186.5,0.95,0.10959521882171804
218,geo_94,78.5,186.5,0.99,0.13864922547801256
219,geo_95,78.5,190.5,0.9,0.079487945269518
220,geo_95,78.5,190.5,0.95,0.09519954065959528
221,geo_95,78.5,190.5,0.99,0.1389851028130133
222,geo_96,78.5,198.5,0.9,0.031668057045397845
223,geo_96,78.5,198.5,0.95,0.017954855416325563
224,geo_96,78.5,198.5,0.99,-0.009318172583970684
225,geo_97,78.5,194.5,0.9,0.09534887662749009
226,geo_97,78.5,194.5,0.95,0.1102831816435437
227,geo_97,78.5,194.5,0.99,0.12330536528491057
228,geo_98,78.5,202.5,0.9,0.024184557367517893
229,geo_98,78.5,202.5,0.95,0.009182166946811194
230,geo_98,78.5,202.5,0.99,-0.038282269198727716
231,geo_99,78.5,206.5,0.9,0.09448070418340573
232,geo_99,78.5,206.5,0.95,0.11704459185668406
233,geo_99,78.5,206.5,0.99,0.14585813924447288
234,geo_100,78.5,210.5,0.9,0.09082094482270911
235,geo_100,78.5,210.5,0.95,0.11229148400230848
236,geo_100,78.5,210.5,0.99,0.15692809780740774
237,geo_101,78.5,214.5,0.9,0.1341732990067612
238,geo_101,78.5,214.5,0.95,0.1621070823096725
239,geo_101,78.5,214.5,0.99,0.19126037703808174
240,geo_102,78.5,218.5,0.9,0.16114788062479518
241,geo_102,78.5,218.5,0.95,0.18634869266114623
242,geo_102,78.5,218.5,0.99,0.2196939362017057
243,geo_103,78.5,222.5,0.9,0.27483253002827224
244,geo_103,78.5,222.5,0.95,0.2861328651931194
245,geo_103,78.5,222.5,0.99,0.2881775970231976
246,geo_104,78.5,226.5,0.9,0.31526544953490326
247,geo_104,78.5,226.5,0.95,0.3427952801880798
248,geo_104,78.5,226.5,0.99,0.34515774816428024
249,geo_105,78.5,230.5,0.9,0.36694451595827166
250,geo_105,78.5,230.5,0.95,0.399274187318378
